5010,Robby Drinhuijzen,1958-04-10,M,,4.0,4.0,19.46,65,60,robby_drinhuijzen6495@hmail.com,801 S Well Promenade,Methuen,Wisconsin,53105
5012,Melanie Otway,1961-07-20,F,8.0,,5.0,12.07,62,60,melanie7202@hmail.com,P.O. Box 22536,New Llano,Louisiana,59423
5024,Aja de Visscher,1978-09-04,N,4.0,,1.0,17.78,45,40,aja_devisscher5099@hmail.com,P.O. Box 25091,Kerr,New Jersey,57897
5033,Sheridan Torres,1980-12-29,F,0.0,,,,43,40,sheridan_torres5129@hmail.com,332 Dusty Trace,Fort Washakie,Missouri,37776
5554,Mitsuko Mcdowell,1960-04-04,N,2.0,,3.0,28.71,64,60,mitsuko9140@inlook.com,P.O. Box 23849,Del Aire,Arizona,77862
5555,Liana Steele,1989-08-13,N,,1.0,6.0,13.98,34,30,liana_steele276@woohoo.com,625 Thunder Pioneer,Edinburg village,Kentucky,31650
5558,Barbra van Steenis,1955-08-24,F,8.0,,3.0,24.12,68,60,vansteenis9879@coldmail.com,858 Essex Run,Milo,Oregon,76489
5563,Klara Davenport,1958-04-11,F,,1.0,6.0,8.32,65,60,klara_davenport9658@coldmail.com,742 SE Fourth,Eveleth,Washington,56338
5565,Eilene Wooten,1987-10-15,N,2.0,,6.0,25.99,36,30,wooten1516@coldmail.com,656 Sleepy Highway,Clay,Maine,23353
5898,Oscar Allen,1989-02-02,M,9.0,,8.0,29.3,35,30,oscar_allen1400@inlook.com,34 NE Robin,Fort Deposit,Massachusetts,85571
5905,Vince Ryan,1956-09-29,N,,2.0,6.0,5.7,67,60,ryan1676@coldmail.com,242 Lazy Ferry Canyon,Aplington,North Dakota,76043
5913,Leatrice Schultz,2003-04-06,F,,10.0,10.0,13.85,20,20,leatrice_schultz2403@inlook.com,319 Lost Knoll,Durand,Tennessee,67407
5916,Brigette Roger,1956-04-03,F,1.0,,6.0,22.81,68,60,brigette3112@hmail.com,945 Anchor Falls,Welton,Idaho,12782
5919,Jordan Waterbloem,1973-07-01,M,8.0,,10.0,8.69,50,50,jordan5933@woohoo.com,P.O. Box 69000,Watts Community,Illinois,49659
5920,Kristeen Lorentz,1950-01-30,F,,7.0,1.0,5.42,74,70,kristeen_lorentz1635@woohoo.com,407 Sky Ramp,Brighton,Iowa,77628
5973,Dominick Amons,1982-11-20,M,1.0,,9.0,28.5,41,40,dominick8749@woohoo.com,P.O. Box 85301,Muniz,South Carolina,958
5976,Charles Allison,1964-04-11,M,,2.0,4.0,3.09,59,50,charles_allison8279@inlook.com,722 Shady Squaw Avenue,Jerseyville,Kansas,41456
5978,Arletta Terweij,1945-03-26,F,,,2.0,1.03,79,70,arletta6010@hmail.com,343 S Bluff,McArthur village,Pennsylvania,68835
5979,Long Sonneveldt,1942-09-26,M,5.0,,4.0,14.21,81,80,long7531@woohoo.com,961 Crystal Ramp,Rice Lake,Georgia,40747
5980,Lucio Blackwell,1942-05-16,M,7.0,,3.0,19.87,81,80,blackwell6843@inlook.com,655 Grand Pond Port,Lostant village,Arizona,28358
5981,Jonell Gilmore,1942-08-29,F,9.0,,10.0,25.02,81,80,jonell5887@hmail.com,660 Golden Pond Square,San Carlos Park,Indiana,21002
5982,Genevieve Mercer,1975-04-01,F,7.0,,3.0,3.78,49,40,genevieve8331@woohoo.com,475 Bluff Annex,East Griffin,Utah,16744
5984,Twyla Villa,1995-09-18,F,,15.0,8.0,8.95,28,20,twyla_villa5958@woohoo.com,294 Old Cloud,Manzanola,Georgia,32947
5994,Rod Creelman,1993-04-10,M,9.0,,4.0,17.43,30,30,creelman5073@inlook.com,945 Burning Oval,Radium Springs,New Mexico,46204
